,name,Marka,GENEL BİLGİLER - Ürün Amacı,GPU Modeli,CPU Modeli,RAM Boyutu,Dokunmatik Ekran,Ekran Boyutu,Çözünürlük X,Çözünürlük Y,Yenileme Hz,price,G3D_L1,G3D_L2,G3D_L3,G3D_L4,GPU_PassMark_G3D,CPU_PassMark
749,"Apple MacBook Pro 16.2"" M4 Pro (14CPU/20GPU)",Apple,İş/Mobil,Apple M4 Pro (20 Çekirdek GPU),Apple M4 Pro (14CPU/20GPU),24.0,False,16.2,3456,2234,120.0,103599.0,,,,,,32932.0
750,"Apple MacBook Pro 16.2"" M4 Pro (14CPU/20GPU)",Apple,İş/Mobil,Apple M4 Pro (20 Çekirdek GPU),Apple M4 Pro (14CPU/20GPU),24.0,False,16.2,3456,2234,120.0,104024.05,,,,,,32932.0
751,MSI Thin 15 B12VE-1627TRP334,MSI,Oyun,NVIDIA GeForce RTX 4050 45W,Intel Core i5-12450H,36.0,False,15.6,1920,1080,144.0,48677.7,,,14411.0,,14411.0,16232.0
752,MSI Cyborg 15 A13VE-1478XTRP332,MSI,Oyun,NVIDIA GeForce RTX 4050 45W,Intel Core i5-13420H,64.0,False,15.6,1920,1080,144.0,48059.09,,,14411.0,,14411.0,17402.0
753,Asus Zenbook 14X OLED UM5401QA-KN188W,Asus,Genel Kullanım,AMD Radeon Graphics,AMD Ryzen 9 5900HX,16.0,False,14.0,2880,1800,90.0,57997.84,,2161.5,,,2161.5,22297.0
754,Casper Excalibur G870.210H-DF60R-C,Casper,Oyun,NVIDIA GeForce RTX 5060,Intel Core 5 210H,32.0,False,15.6,1920,1080,60.0,61885.03,,20706.0,,,20706.0,18879.0
755,Lenovo LOQ 15IAX9 83GS007XTR32,Lenovo,Oyun,NVIDIA GeForce RTX 4060,Intel Core i5-12450HX,32.0,False,15.6,1920,1080,144.0,40419.06,,19544.0,,,19544.0,18228.0
756,Lenovo LOQ 15ARP9 83JC000UTR-161,Lenovo,Oyun,NVIDIA GeForce RTX 4060 105W,AMD Ryzen 7 7435HS,16.0,False,15.6,1920,1080,144.0,50999.0,,,17452.0,,17452.0,23336.0
757,Lenovo Thinkpad E16 G2 21MA003MTXF20,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,48.0,False,16.0,1920,1200,60.0,51830.4,,2161.5,,,2161.5,17366.0
758,MSI Pulse 16 AI C1VFKG-212XTR,MSI,Oyun,NVIDIA GeForce RTX 4060 140W,Intel Core Ultra 7 155H,32.0,False,16.0,1920,1200,144.0,51087.89,,,17452.0,,17452.0,24826.0
759,MSI Pulse 16 AI C1VFKG-093XTR,MSI,Oyun,NVIDIA GeForce RTX 4060 140W,Intel Core Ultra 7 155H,32.0,False,16.0,1920,1200,144.0,55572.08,,,17452.0,,17452.0,24826.0
760,Acer Nitro V 15 ANV15-51-946Z,Acer,Oyun,NVIDIA GeForce RTX 4060 75W,Intel Core i9-13900H,16.0,False,15.6,1920,1080,165.0,57599.04,,,17452.0,,17452.0,27602.0
761,Lenovo ThinkBook 14 G6 IRL 21KG004NTR Zi729,Lenovo,İş/Mobil,Intel Iris Xe Graphics,Intel Core i7-13700H,32.0,False,14.0,1920,1200,60.0,44203.2,,2641.0,,,2641.0,26358.0
762,ThinkPad X9-14 G1 Aura Edition,Lenovo,İş/Mobil,Intel Arc Graphics 140V,Intel Core Ultra 7 258V,32.0,False,14.0,2880,1800,120.0,95472.0,,5203.0,,,5203.0,19140.0
763,Dell G15 Gaming 5530 G155530012UAR66,Dell,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13650HX,32.0,False,15.6,1920,1080,60.0,58847.04,,19544.0,,,19544.0,30673.0
764,Dell G15 Gaming 5530 G155530012U ZI714,Dell,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13650HX,32.0,False,15.6,1920,1080,60.0,68099.0,,19544.0,,,19544.0,30673.0
765,Lenovo LOQ 15ARP9 83JC00CUTR,Lenovo,Oyun,NVIDIA GeForce RTX 4070,AMD Ryzen 7 7435HS,12.0,False,15.6,1920,1080,144.0,57983.04,,26926.0,,,26926.0,23336.0
